text,start,duration
"Crash Course Philosophy is brought to
you by Squarespace.",3.23,2.96
Squarespace: share your passion with the world.,6.19,2.92
"Imagine being alive when Albert Einstein was
developing his theories of relativity.",9.11,3.86
"Or witnessing the birth of psychology, as Sigmund Freud and psychoanalysis took over the scientific mainstream.",12.97,4.95
"The early 1900s was an amazing time for Western
science.",17.92,3.16
"There was another figure on the intellectual
scene when these great minds were at work.",21.089,3.35
"Young philosopher Karl Popper was born in
Austria -- Freud’s home turf -- but built",24.439,4.0
"his career in Britain, giving serious consideration
to the new ways that these and other scientists",28.439,5.371
of the time were thinking about the world.,33.81,1.929
"And after looking at different methods that
people like Einstein and Freud were using,",35.739,3.82
"Popper came to understand that not all scientific
achievement was created equal.",39.559,4.121
"He ended up making an important distinction,
between science … and what he called pseudo-science.",43.68,4.44
"And in the process of doing this, he taught
us volumes about the nature of knowledge itself,",48.12,5.06
"and how we can best test it, and challenge
it, to bring us closer to the truth.",53.18,4.1
[Theme Music],57.28,10.54
"Emerging at roughly the same point in history,
Freud and Einstein both made predictions that",67.82,4.6
"they hoped would help us better understand
our world.",72.43,2.63
"Freud, concerned with the individual psyche,
predicted that our childhood experiences would",75.06,4.01
"have a heavy bearing on who we grew up to
be.",79.07,2.38
"Meanwhile, Einstein waited patiently for a
solar eclipse that could disprove his entire",81.45,4.04
"general theory of relativity, depending on what it would reveal about how light travels through space.",85.49,5.03
"And then there was Karl Popper, born in 1902,
who grew up to observe these predictions with",90.52,5.22
"keen interest. As a young scholar, he learned
about the psychoanalytic theories of Freud,",95.74,4.8
"and attended lectures given by Einstein himself
about the rules of the universe.",100.54,4.25
"And he noticed that these great thinkers used
different methods.",104.79,3.24
"For example, Popper observed that Freud was
able to make just about any data point work",108.03,4.03
"in service of his theory. Freud could explain
a person’s intimacy issues both in terms",112.08,4.31
"of not being hugged enough as a child, or
in terms of having been hugged too much. Meanwhile,",116.39,4.58
"almost any behavior on the part of a female
could be explained in terms of penis envy.",120.97,4.52
"Evidence to support Freud’s theories seemed
to be everywhere!",125.49,3.05
"But Popper saw that Einstein was making a
different type of prediction.",128.56,3.349
"Instead of looking backward, and using past
data to “predict” the present, he was",131.909,4.381
"looking ahead, and predicting future states
of affairs. Einstein’s theory was truly",136.29,4.33
"risky, Popper realized. Because, if the future
didn’t match his predictions, then his theory",140.62,3.94
"would be conclusively disproven. If the results
of the solar eclipse in 1919 had been different,",144.56,5.22
general relativity would have been finished.,149.78,2.4
"Freud, on the other hand, could always just
read the past differently, so as to maintain",152.18,3.479
some kind of confirmation of his theory.,155.659,2.151
"Suddenly, Popper understood the difference
between the science that Einstein was doing,",157.81,3.33
"and what Freud was doing, which Popper rather
snootily referred to as pseudo-science.",161.14,3.9
"Now, whether psychology today is considered
a hard science or a social science or some",165.04,4.569
"other kind might be debatable. But you won’t
find many mainstream thinkers who consider",169.609,4.151
"it pseudoscience. But still, nearly a hundred
years ago, when Popper was reaching these",173.76,3.92
"conclusions, no modern philosopher had really
characterized what “science” truly meant",177.68,4.24
"-- and what the implications were for the
pursuit of knowledge.",181.92,2.64
"The traditional understanding of the scientific
method, going all the way back to the ancient",184.56,3.47
"Greeks, relied on the belief that, to look
at the world with a scientific eye is to observe",188.03,4.679
with no preconceived notions.,192.709,1.631
"You simply look, see what you see, and then
develop hypotheses based on those observations.",194.34,4.739
"So, you look at a swan, and you notice it’s
white. You look at another swan; it’s white too.",199.079,4.36
"You look at enough white swans, and eventually
you form the hypothesis that all swans are white.",203.44,4.62
"This is what Freud said he was doing: Observing
relationships -- but instead of it being between",208.06,3.679
"the relationship swans and colors, it was between particular human phenomena and human behavior.",211.739,5.08
"But Popper argued that everyone has preconceived
notions of some kind. We all start out with",216.82,4.76
"a hunch, whether we admit it or not.",221.59,2.129
"After all, what you decide to observe is determined
by what you already care about enough to observe",223.719,4.86
"in the first place and the fact that you care
about it so much also means that you already",228.579,3.821
have some beliefs about it.,232.4,1.479
"So, what does that tell us about Freud?",233.879,1.67
Popper became convinced that methods like his that only served to confirm beliefs were pseudo-science.,235.549,5.22
"And they could be used
to prove anything.",240.769,1.931
"Consider the existence of Santa Claus. If
I try to find evidence of Santa’s existence,",242.7,3.8
"I’m going to find it, easily. The world
is filthy with evidence of Santa Claus! There",246.51,5.269
"are presents under the tree on Christmas morning.
There’s the guy at the mall. And then there",251.779,3.33
"are all those songs, and stories, and tv shows, and movies – they combine to confirm your belief in Santa.",255.109,6.0
But Popper would argue that it’s only by seeking to disprove Santa’s existence that you can demonstrate his unreality.,261.109,5.471
"So the question is, when we begin to test a theory, are we looking to confirm it, or disconfirm it?",266.58,5.72
"This is the key point, for Popper – science
disconfirms, while pseudoscience confirms.",272.3,5.32
He elaborated on this insight by establishing a series of distinct conclusions about science and knowledge.,277.62,4.96
"First, he said, it’s easy to find confirmation
of a theory if you’re looking for it.",282.58,3.92
"Remember the presents under the tree? If
you’re looking for proof that Santa exists, you’re not",286.5,4.0
"likely to keep searching for contradictory
evidence after that.",290.51,3.11
"Second, confirmation should only count if
it comes from risky predictions – ones that",293.62,3.86
"could actually destroy your theory. Because,
Popper observed that every good scientific",297.48,4.16
"theory is prohibitive – it rules things
out.",301.64,2.6
"This might sound strange, because no one wants
to be wrong, but Popper says that every false",304.24,4.33
"belief we discover is actually good, because that gets us that much closer to believing only true things.",308.57,5.97
