text,start,duration
"Crash Course Philosophy is brought to you
by Squarespace.",3.0,2.94
Squarespace: Share your passion with the world.,5.94,3.14
"How do you know that aspirin will take care
of your headache?",9.08,2.08
"Why do you really want to see the new Marvel movie,
even though you haven’t heard anything about it, good or bad?",11.16,4.12
"Your ability to do things like predict how
a medication will affect you, or what movie",15.28,4.32
"you might like, or even things like what the
perfect gift might be for your best friend,",19.61,3.58
"or what’s the fastest way to get to campus
–- all of this stuff, you know through induction.",23.19,4.24
"Deductive arguments are great because they
give us certain answers.",27.43,3.31
"But unfortunately, much of the world cannot
be summed up in a neat deductive proof.",30.74,4.24
"Deduction requires a fair amount of general
information to give you a specific conclusion",34.989,3.44
"that is, frankly, probably kind of obvious.",38.429,2.991
"So, philosophy -- and basically, you know, life as well --
require that you have other ways of reasoning.",41.42,5.0
"In addition to knowing how one fact leads
to another, you also need to take what you’ve",46.429,4.171
"experienced before, and use that to predict
what might happen in the future.",50.6,3.289
"And you need to be able to rule out what can’t
be true, so you can focus on what can.",53.889,4.5
"Through these kinds of reasoning, you’re
not only able to figure out stuff like how",58.389,3.08
"to fix your headache, and why your roommate
might be acting weird. You can also come up",61.469,3.66
"with better, more skillful arguments — and
counterarguments — which are some of the",65.129,4.17
"most important maneuvers in the philosophical
game.",69.299,2.31
"And maybe the best part is, you already know
how to use these techniques.",71.609,3.321
"In fact, I bet you’ve used them this very
day. You know this!",74.93,4.04
[Theme Music],78.97,10.24
"If you possess any ability to really predict the
future, it lies in your ability to reason inductively.",89.21,5.8
"Inductive reasoning relies on the predictability
of nature to reveal that the future is likely",95.01,4.39
"to resemble the past, often in important ways.",99.409,2.611
"For example, there’s tons of research to
support the knowledge that aspirin -- acetylsalicylic",102.02,4.459
"acid -- is an effective treatment for pain,
like headaches.",106.479,2.7
"And you probably have personal experience
with the effects of aspirin, too.",109.179,2.94
"So, you believe that this aspirin tablet will
cure the headache you have right now, because",112.119,5.021
"countless aspirin tablets have cured countless
headaches in the past.",117.14,3.519
"Likewise, you want to see the new Marvel movie,
because you liked most of the other ones,",120.659,3.66
"so you believe that they’ll continue to
deliver for you, entertainment-wise.",124.319,2.94
"But it’s important to remember that, unlike
deduction, where true premises entail true",127.259,4.66
"conclusions, inductive premises only mean
that the conclusion is likely to be true.",131.92,4.66
"Inductive arguments don’t provide you with
certainty. Instead, they work in terms of probabilities.",136.58,4.22
"And they’re useful for more than predicting
what’s going to happen. For example:",140.81,4.37
"Most men in ancient Athens had beards.
Socrates was a man who lived in ancient Athens.",145.18,4.5
"Therefore, Socrates probably had a beard",149.68,2.18
"This is an inductive argument, because it
starts with what we already know – about",151.879,3.161
"the grooming habits of ancient Athenian men,
and about the time and place in which Socrates",155.04,4.199
"lived – and makes an educated guess based
on that information.",159.239,3.83
"There’s no guarantee that the conclusion is correct,
but what’s known would seem to support it.",163.069,3.751
"Reasoning like this is incredibly useful, which is
why it’s so common. But there’s also a problem.",166.82,4.82
"The future doesn’t always resemble the past.
And every pattern has its outliers.",171.65,4.479
"So induction always has the potential to produce
false results. Aspirin might not work on a",176.129,4.28
"really bad headache. The new Marvel movie
might be awful. And, yeah, maybe a specific",180.409,4.321
"guy in Athens had a beard but it’s possible
he didn’t!",184.73,2.899
"While the world tends to work according to
predictable rules, sometimes those rules are violated.",187.629,3.8
"And you know what you need when that happens?
A little Flash Philosophy. Off to the Thought Bubble.",191.43,4.48
"Contemporary American philosopher Nelson Goodman
confronts the problems of induction, using",195.91,4.25
"a thought exercise about a hypothetical substance
called grue.",200.17,3.26
"According to Goodman’s scenario, grue is
anything that’s the color green before a",203.43,3.85
"certain time, a time that we will call t.",207.28,2.189
"And another property of grue is that, while
it’s green before time t, it’s blue after it.",209.469,5.06
"Now, let’s assume that we’re living in
a time before t. T could happen a hundred",214.53,3.599
"years from now or tomorrow, but we know that
all of the emeralds we’ve ever seen are green",218.129,4.771
"So, inductive reasoning lets us conclude that
all emeralds are green, and will remain green",222.9,4.759
"after time t -- since emeralds haven’t been
known to change color.",227.659,3.82
"BUT! All emeralds are grue! Because it's not yet time t,
and they're green, which is part of the definition of grue.",231.48,6.18
"So we have no choice but to conclude that
the emeralds will be blue after time t arrives.",237.66,4.12
"Now we’ve got a problem. Because inductive
reasoning has led us to conclude that emeralds",241.78,4.269
"will be blue after time t, but inductive reasoning
also tells us that they’ll remain green.",246.049,5.181
"Goodman’s riddle reminds us that inductive
evidence can be flawed, or contradictory.",251.23,4.239
"It can make you think that you can predict
the future, when of course you can’t.",255.469,3.36
"So, there are times when you need to get at
the truth in other ways. Like by eliminating",258.829,3.991
"what’s obviously not true, and considering
what’s most likely.",262.82,3.24
"And for this, we turn our attention to one
of the most important philosophical figures",266.06,3.22
of 19th century England: Sherlock Holmes.,269.28,2.25
"In chapter six of Sir Arthur Conan Doyle’s “The
Sign of the Four,” Mr. Holmes says, and I quote:",271.53,5.27
"“When you have eliminated the impossible, whatever
remains, however improbable, must be the truth.”",276.8,5.78
"This is probably the best, most succinct description
ever given of the kind of reasoning known as abduction.",282.58,6.04
"Which I know, it sounds like we’re talking
about a kidnapping or something, but abduction",288.62,3.1
"is a thought process sometimes described as
“inference to the best explanation.“",291.72,4.56
"Abduction doesn’t reason straight from a premise to
a conclusion, as we’ve seen in deduction and induction.",296.28,5.86
"Instead, it reasons by ruling out possible
explanations until you’re left with the",302.15,3.83
"most plausible one, given the evidence. Consider
this:",305.98,2.8
Anna told you she failed her physics midterm.,308.78,2.5
"Anna hasn’t been in physics class since
your teacher graded the exams.",311.28,3.46
"Anna has been in sociology class, which meets
right after physics.",314.74,3.7
Anna dropped physics.,318.44,1.22
"Now, with only these premises, we can’t
deductively or inductively prove our conclusion",319.66,4.7
– that she dropped physics.,324.36,1.36
"But, it’s a justifiable conclusion, because,
given what we know, dropping the class is",325.72,3.8
the most plausible explanation of events.,329.52,1.88
"We know she’s not sick – because she’s
still going to sociology – and we know she",331.4,3.47
"had good reason to withdraw from the class,
because she was unlikely to pass.",334.87,3.6
"Concluding that she dropped the course makes
the most tidy use of our information, without",338.47,3.57
"leaving any loose ends. So let’s look at
another one:",342.05,2.55
You and your roommate ate sushi last night.,344.6,2.43
You both wake up with violent stomachaches.,347.03,2.22
You and your roommate ate some bad sushi.,349.25,2.09
"The mere fact that you’re both sick doesn’t
prove that the sushi caused the sickness.",351.34,4.05
"But, given that you both ate the same thing
and you both have the same symptoms – absent",355.39,3.94
"other information, like that a stomach virus
is going around your dorm – the best explanation",359.33,3.95
is that the sushi caused your intestinal anguish.,363.28,2.16
"Now, like induction, abduction doesn’t give
us certainty.",365.44,2.66
"But it is a really useful way to get through
puzzling situations when you don’t have",368.1,3.38
clear evidence from the past to help you out.,371.49,2.58
"Doctors use abduction a lot when they’re
diagnosing illnesses, and detectives of course",374.07,4.11
use it when piecing together evidence.,378.18,1.42
"You probably use it pretty often too – just
beware, because abduction must be used carefully!",379.6,4.81
"It uses only information you have at hand
-- that’s why doctors and detectives work",384.41,3.72
"so hard to dig up more data, and re-create events from
the past, so they can help draw better conclusions.",388.13,4.98
"All right, now that we’ve looked at some
argument types, let’s find out how philosophers",393.11,3.14
use arguments to interact with each other.,396.25,2.36
"Because, philosophers don’t argue like other
people do.",398.61,2.63
"It’s not like the conversation you have
around the dinner table about whether the",401.24,3.2
"Patriots are better than the Seahawks, or
why plain M&Ms are superior to peanut, which",404.44,4.28
is clearly a preposterous position to take.,408.72,2.62
"Philosophers hold each other to different,
higher standards.",411.34,2.9
"They don’t teach each other get away with
saying, “I reject your argument because",414.26,3.39
"I don’t like its conclusion.” Or, “That’s
preposterous, peanut M&Ms are so good.”",417.65,4.76
"Instead, if you disagree with a conclusion,
you need to give reasons, just like the first",422.41,4.4
person did when they made their case.,426.81,1.54
"Both people involved in this kind of exchange
are known as interlocutors, because we have",428.35,4.04
"to name everything. The first one advances
an argument, and the second one can either",432.39,4.63
"accept it, or offer a counterargument, which
is just what it sounds like – an argument",437.02,4.54
offered in opposition to another argument.,441.56,2.24
Think back to Socrates and the beard.,443.8,2.06
"You think Socrates had a beard, and your reasoning
is that most men in his time and place had them.",445.87,4.2
"I, however, think you’re wrong. So I give
you a counterargument.",450.07,2.98
"Gorgias, a contemporary of Socrates, said
Socrates couldn’t grow a beard and that",453.05,3.87
"he would sneak into barbershops and steal
discarded clippings to fashion fake beards",456.93,4.62
"for himself. Therefore, Socrates didn’t
have a (real) beard.",461.55,3.94
"And I just want to point out that this is
an actual philosophy conspiracy theory.",465.49,4.04
"Gorgias was a real guy, who differed with
Socrates on many things, and the dispute was",469.53,3.58
said to have gotten personal.,473.11,1.75
"According to accounts of the time, Gorgias
actually spread the rumor that Socrates wore,",474.87,3.89
"like, a beard-wig, in an effort to shame and
discredit his rival. I mean, how could you",478.76,4.6
"be a good thinker if you weren’t a good
beard-grower.",483.36,2.6
