text,start,duration
"Crash Course Philosophy is brought to
you by Squarespace.",3.06,2.98
Squarespace: share your passion with the world.,6.04,2.6
"By the time we’re done today, I just might
have you questioning whether this apple is",8.65,4.22
"real or not. Think I can’t do it? Gimme
about ten minutes! I might have you wondering",12.87,3.79
whether I’m a physical object or not.,16.66,2.09
"And the same goes for all of this stuff, and your
computer, and Nick behind the camera! And … you!",18.75,5.11
How? By unleashing the power of empiricism.,23.86,3.66
[Theme Music],27.52,9.78
"Last time, we learned about 17th century philosopher
Rene Descartes, and how he upended the apple-basket",37.3,4.879
"that was his entire personal belief system,
and descended into a radical skepticism, only",42.179,4.281
"to emerge with his conviction that: Cogito
ergo sum – I think, therefore I am.",46.46,5.24
"This one idea -- the fact that he was thinking
-- or really, the fact that he was doubting",51.7,4.58
"-- allowed him to build back up, one by one,
more beliefs that he thought he could rely on.",56.29,4.62
"But in the end, most of the beliefs that Descartes
ended up putting back into his intellectual",60.91,3.87
"apple-basket had to do with the immaterial
world.",64.78,2.97
"Like, he decided that he could believe that
he existed, as a thinking thing.",67.75,4.34
And he believed that God existed.,72.09,1.78
"Ultimately, he lit upon the idea that some
of our thoughts are clear and distinct in",73.87,4.27
a way that somehow guarantees their truth.,78.14,2.39
"But, a lot of philosophers disagreed. They
argued that thinking on its own wasn’t enough.",80.53,4.42
"Like, just because you’re thinking, doesn’t
mean that your thoughts correspond to material",84.95,4.519
reality in any reliable way.,89.469,2.08
"Basically, Descartes’ philosophical opponents
thought that the Cogito was a dead end.",91.549,3.881
"So here, we start to see a split between two
different understandings of how we can most",95.43,3.7
"reliably get to the nature of reality, and
therefore truth. Both were responses to the",99.13,4.26
"constant questioning that is skepticism. On
the one hand, there was rationalism.",103.39,4.52
And on the other: empiricism,107.91,1.87
"Descartes, like Plato long before him, was a lover of reason. He met skepticism with rationalism.",109.78,4.84
He believed that the most real things in life were ideas -- propositions that can be known through pure reason.,114.62,6.12
"Deductive truths, which we talked about before,
fall into this category. And mathematical truths do, too.",120.74,5.18
"But by contrast, empiricism is based on the
principle that the most reliable source of",125.92,3.75
"knowledge isn’t our ideas, or our reasoning,
but our senses.",129.67,4.0
"Sure, we can know things through deduction
and basic logic.",133.67,3.24
"But what actually leads us to truth, or at
least gives us our best shot at getting there,",136.91,4.17
"are things like induction, and the scientific method -- ways of thinking that tell us about the material world.",141.09,5.54
"Probably the most famous split among philosophers
between these two camps was the life-long",146.63,4.27
debate between Plato and Aristotle.,150.91,2.32
"Plato was convinced that Truth resided in
the immaterial world of Ideas, while Aristotle’s",153.23,4.61
attention was focused firmly on the ground.,157.84,2.02
"But what about in Descartes’ day? If he
was the original prototype of the navel-gazing",159.86,3.31
"philosopher -- a living example of rationalist
thinking — then his foil was was the 17th",163.17,4.95
"century English thinker John Locke. This is
where he was born.",168.12,3.29
"Locke believed that we’re all born as a
tabula rasa, or a blank slate.",171.41,3.88
"He argued that all knowledge is
obtained through experience.",175.29,2.78
"He rejected the concept of innate ideas -- the
view that we’re born pre-loaded with certain",178.07,4.17
"information, like what’s good versus what’s
bad, or what is the nature of God.",182.25,4.19
Locke thought that we are born knowing nothing.,186.44,2.52
"And instead, all of our knowledge comes
to us through sense data.",188.96,3.26
"But one place where Locke agreed with Descartes
was in the idea that, just because your senses",192.22,4.2
"tell you something, that doesn’t mean you
can trust it.",196.42,3.02
"After all, sometimes your senses give you
false information, like when you think you",199.44,3.46
see or hear something that’s just not there.,202.9,2.0
"Descartes’ response to this, of course,
was to just throw out all sense experience",204.9,4.1
as an unreliable source of knowledge.,209.0,1.8
"But Locke didn’t go that far. Instead, in
order to figure out whether the senses accurately",210.8,3.9
"reflect the outside world, he introduced a
distinction between what he called the primary",214.7,4.42
and secondary qualities of all things.,219.12,2.24
"Primary qualities are qualities that physical
objects themselves have. They’re not in",221.36,4.1
