text,start,duration
"Crash Course Philosophy is brought to you
by Squarespace.",3.14,3.04
Squarespace: Share your passion with the world.,6.18,2.9
"We’ve spent a couple of lessons thinking
about how philosophers reason.",9.08,2.94
Now it’s time to do some actual philosophy.,12.02,2.8
"And one of the most important hallmarks
of philosophical thought is that",14.83,2.77
you should never take things at face value.,17.6,2.38
"You should always be willing to accept that
there’s more to the world than meets the eye.",19.98,3.78
"Because, whatever truth seems obvious today,
might turn out to be not so true at all.",23.76,4.72
"It’s one of the more daunting pursuits in
philosophy -- pondering what’s really real,",28.49,4.46
"as opposed to what you think is real, and
how you could ever know the difference.",32.95,3.87
"Fortunately, there are some guides who can help you on your journey, when you’re exploring the nature of reality.",36.82,4.76
"And you know who’s really helpful here?
Leonardo DiCaprio.",41.58,2.64
"I mean, I guess you could say that a lot actors can transport you to another reality if they’re good enough.",44.22,4.26
But that’s not what I mean.,48.48,1.24
"I’m talking about Inception, that movie
where Leo plays a thief who steals ideas from",49.72,4.139
people by invading their dreams.,53.859,1.96
"A super-handy ability if you want to, say, steal corporate secrets from a CEO, or military plans from a head of state.",55.82,5.419
"But after a while, it becomes hard for some
members of Leo’s team to tell the difference",61.239,3.991
"between one dream and another, or to discern
dreams from reality.",65.23,3.87
"The whole film is populated with people who live
in a dream world, convinced they’re living real-life.",69.1,5.04
"To them, the dream is all there is – it
has become their reality.",74.14,3.5
"But from the perspective of those outside
the dream, who see their sleeping bodies,",77.64,3.54
the reality they’re chasing is simply false.,81.18,2.11
"It’s a real cool premise for a movie. I
haven’t ruined it for you -- you can still",83.29,2.88
"watch it. And the fact is, the same concept
has been around for thousands of years.",86.17,3.99
"The basic question that Inception asks has
vexed philosophers all the way back to the",90.16,4.26
very roots of Western philosophy.,94.42,1.9
"Is it possible that my current reality isn’t
real at all?",96.32,4.04
"Before we had Leonardo DiCaprio to walk us
through this question we had Plato.",100.36,3.6
[Theme Music],103.96,10.44
"Around 2400 years ago, Plato wrote his famous
book, The Republic, in which he describes",114.4,5.12
"-- probably better than anyone before or since
-- the nature of reality.",119.53,4.03
"He does it by telling a story about prisoners who have been chained since birth in a dark cave, facing a blank wall.",123.56,6.28
"All kinds of people and objects pass behind
the prisoners, and a fire casts the shadows",129.84,3.989
"of those things onto the wall in front of
the prisoners.",133.829,2.91
"These shadow images are all the prisoners ever see, and they come to understand the shadows as reality.",136.739,4.8
"Now just hold up a minute and imagine what
your view of the world would be like, if all",141.549,3.591
"you’ve ever seen are shadows. You wouldn’t
know that there was anything more.",145.14,4.18
3D wouldn’t even be a concept for you.,149.32,2.46
"The prisoners spend their whole lives understanding
only this shadow reality, until one day one",151.78,4.51
"of them escapes from his chains, and crawls
into the daylight.",156.29,3.399
"After spending a lifetime in fire-lit darkness,
the man is blinded by the sun at first.",159.689,4.461
"But in time, he comes to see the things outside
the cave are far more real than the shadow",164.15,4.78
images that he once took for reality.,168.93,2.069
"They have substance. They occupy an extra
dimension.",170.999,3.061
"Think about how that would feel. To suddenly
realize that everything you believed just",174.06,3.759
"minutes ago turned out to be merely faint
outlines of reality.",177.819,3.76
"This is what happens to a lot of the
characters who inhabit the world of Inception:",181.579,3.42
"Once they realize there can be multiple layers of reality, they never look at the world around them the same way again.",185.0,5.26
"And for many of them, the
experience becomes intoxicating.",190.26,3.04
"This is also what happens to Plato’s escaped
prisoner.",193.31,2.56
"He goes back into the cave to tell his friends
the exciting news about what he’s found.",195.87,3.56
"But the conversation doesn’t go the way
he thinks it will.",199.43,2.33
"He expects them to be amazed by his discovery
-- he figures they’ll be as eager to join",201.76,4.369
him as he is anxious to get back.,206.129,2.051
"But they all think he’s crazy. As far as
they’re concerned, he’s babbling about",208.18,3.849
"some “higher reality” that they’ve never
seen, or heard of, or have any evidence for.",212.029,4.901
"To make matters worse, going back into the
fire-lit cave, after being in the sunlight,",216.93,3.52
temporarily blinds the man again.,220.45,1.72
"So, from his friends’ perspective, his journey
into the outside world has actually damaged him,",222.17,3.87
"because now he can’t even see the shadow
images that were once his whole world.",226.04,3.98
"Now, you don’t have to be Plato, or Christopher
Nolan, to dream this stuff up.",230.029,3.63
"In fact, you might have experienced a diluted
version of this kind of reality-shock for yourself.",233.659,4.62
"For example:
Do you remember your first teddy bear?",238.28,2.239
"That bear was, philosophically speaking,
your only contact with,",240.519,3.62
"and your only way of understanding,
the concept of a bear.",244.14,3.18
"Then one day, you went to a zoo, or a wildlife refuge,
or a national park, and you saw an actual bear.",247.329,5.28
"And suddenly you realized that your previous
understanding of ‘bear’ was way, way off.",252.609,4.24
"Bears don’t have button eyes and little smiles made
of thread. They’re not soft. You couldn’t hug one.",256.849,5.411
"The bear you spent your first years of life
snuggling with, was just a shadowy imitation",262.26,4.44
of the reality of bear-ness.,266.7,1.84
"Now, check out this somewhat more mature example:",268.54,1.88
"Maybe you were the first member of your tweeny
group of friends to discover the wonders of",270.42,3.64
