text,start,duration
"Crash Course Philosophy is brought to you
by Squarespace.",3.02,2.88
Squarespace: Share your passion with the world.,5.9,3.14
"A film for your philosophical consideration:
The Matrix.",9.04,3.24
"You gotta remember the, uh, the humans floating
in vats of KY jelly?",12.28,3.62
"Tubes and wires keeping them alive, stimulating
their brains, to make them believe that they",15.91,3.91
"were experiencing the real world – the world
we all think we know?",19.82,3.84
"Well, almost-20-year-old spoiler alert here: some of
them come to find out that the real world was a",23.66,5.04
"desolate wasteland, and the lives everyone thought they were living were just fabrications fed into their brains.",28.7,4.52
"A select few were ‘rescued’ from the illusion,
but some of them were so unhappy in the real",33.22,4.7
world that they chose to return to illusion.,37.92,2.479
"But Neo -- and the others who chose to stay
and fight --- were the philosophical heroes",40.399,3.76
"of the movie, choosing truth at the cost of
comfort and happiness.",44.159,3.44
"After watching The Matrix, you might’ve
found yourself wondering: Could this be true?",47.6,3.78
"Could we possibly be stuck in a dream world
of someone else’s making, with no way to",51.389,4.551
"tell that our “reality” isn’t real at
all?",55.94,2.549
"If so, you’re not the first person to have
wondered about these things.",58.489,3.01
"In fact, the original Neo? The guy who really
went into battle against the matrix of illusion,",61.499,4.28
in order to defend the Truth?,65.78,1.579
"He was a 17th century mathematician. Named
Rene.",67.36,3.18
[Theme Music],70.54,10.12
"Last time, we talked about Plato, and his
belief that the ordinary reality of the material",80.66,4.34
"world is only a shadowy approximation of Ultimate
Reality.",85.0,3.659
"Socrates, meanwhile, who was widely believed to be the wisest man in Athens, fretted about how little he knew.",88.659,5.62
"Philosophers spend a lot of time obsessing
about knowledge, wishing they knew more, and",94.28,4.34
"worrying that they’re wrong about what they
think they know.",98.63,2.57
"They even, if you remember from the first
episode, have a fancy name for the study of",101.2,3.729
knowledge – epistemology.,104.929,1.631
"The philosopher who gets the gold star for
taking this how-do-I-know-what-I-know paranoia",106.56,4.11
"to astonishing levels is the early modern philosopher, scientist, and mathematician, Rene Descartes.",110.67,5.17
"When you watch The Matrix, you should congratulate the Wachowskis for giving us such a great sci-fi adventure story.",115.84,4.639
"But you should also remember that the archetype
of the story actually has its roots all the",120.479,3.31
"way back in the writings of Descartes, in
the early 1600s.",123.789,3.031
"For a story like The Matrix to get off the
ground, the audience has to be willing to",126.82,3.8
entertain some level of skepticism.,130.63,1.93
