text,start,duration
"Crash Course Philosophy is brought to you
by Squarespace.",3.169,2.86
Squarespace: Share your passion with the world.,6.029,2.951
You probably think you know a lot of things.,8.99,2.25
But do you know what it means to know something?,11.24,2.6
"We’ve spent quite a bit of time discussing
beliefs and knowledge, but we haven’t really",13.84,3.23
"been specific about what we mean when we talk
about those things.",17.07,3.32
"Thankfully, philosophers love a good definition.
They have very specific and lucid ideas in",20.39,5.25
"mind when they use terms like know or believe
or proposition or justification.",25.64,4.56
"And, about ten minutes from now, you too will know what you’re really saying when you use those words.",30.2,4.04
"But, just because these terms have been defined, doesn’t mean that philosophers aren’t still arguing over them.",34.24,4.66
"Because you know, that’s how philosophers
do.",38.9,2.28
"Their definitions might seem kind of obvious
at first, but the more you think about them,",41.19,3.5
the more nuanced they turn out to be.,44.69,1.73
"Like, is having knowledge of something the
same thing as being correct?",46.42,3.459
"Or, if you believe something to be true, and
it is true, does it matter if your belief in it is justified?",49.879,5.42
"And can you be right about something without
really trying?",55.3,2.72
"Answers to these questions and more await
you, as well as",58.03,3.939
cats!,61.969,1.38
[Theme Music],63.349,10.66
"So you’ve heard this already: Philosophers
love a good argument.",74.009,2.671
"But you’ve figured out by now that philosophers
argue in a different way than, like, kindergarten",76.68,3.829
"kids, or Internet trolls, or other people
who confuse “arguing” with sniping back",80.509,3.57
and forth or just thinking up witty comebacks.,84.079,2.04
"Nope. Philosophers have all kinds of rhetorical
devices at their disposal that they can use",86.12,4.42
"to advance an idea, or call into question
the ideas of their interlocutors.",90.549,4.24
"So in order to hold your own in a philosophical
debate, you’re gonna have to know the difference",94.789,3.451
"between two things that sound like exactly
the same thing: an assertion, and a proposition.",98.24,5.32
"And you’ll need to be able to tell whether
someone actually knows what they’re talking",103.56,3.54
"about, or if they just believe what they’re
saying might be true.",107.1,3.409
"For example: The sentence I’m saying right
now is an assertion. An assertion is a linguistic",110.509,4.24
"act – either spoken or written – that
has a truth value. And despite what it might",114.749,3.701
"sound like, truth value isn’t a measure
of how right something is. It’s just the",118.45,3.68
"state of being either true, or false, or indeterminate.
All declarative sentences have truth values.",122.13,5.56
"Declarations that assert something about the
past or present are either true or false.",127.69,4.609
"And assertions about the future are indeterminate,
at least when they’re expressed, because",132.3,3.68
no one knows if they’re right or not yet.,135.989,1.771
"For example, I’m gonna assert that “This cat will pee on my desk before the end of the show.”",137.76,4.22
"That assertion has a truth value, but it’s
indeterminate, because the show’s not over yet.",141.98,4.52
We’re just gonna have to wait and see.,146.51,1.36
"Now, all of this contrasts with other kinds of linguistic acts, like questions, which don’t assert anything.",147.87,5.0
"“This is a cat” is an assertion, as opposed
to “Is that a cat?,” which is a linguistic",152.87,4.899
"act, but not an assertion.",157.769,1.86
"But the substance of what you assert has a
name, too.",159.629,2.121
"The content of your assertion is your proposition.
It’s the underlying meaning of what you’re saying.",161.75,4.4
"So even though an assertion itself can change,
depending on say, what language it’s spoken",166.15,4.03
"in, its meaning doesn’t change just because
its outer packaging does.",170.18,3.169
"Like, “This is a cat” and “Este es un
gato,” both assert the same proposition.",173.349,4.941
"And a proposition is true if it asserts a
claim that corresponds to reality.",178.29,3.64
"The proposition when I assert “This is a
cat,” is true if the object of the “this”",181.93,4.759
"is in fact a cat, and false if it is anything
other than a cat. Like, “This is a cat.”",186.689,5.0
"It’s worth pointing out that attitude counts,
too, when you’re asserting something.",191.689,3.101
"A speaker’s mental state toward the proposition
they’re making is their propositional attitude.",194.79,4.47
"If I say, like, “This is a cat,” but I
actually believe it to be a rat and I’m",199.26,3.949
"trying to fool you, then philosophers would
say that I have a propositional attitude of disbelief.",203.209,4.371
"Whereas, if I think I’m speaking truthfully,
I have a propositional attitude of belief.",207.58,4.28
"And of course, you’re not going to get very
far as a philosopher unless you understand",211.86,2.7
